market,session,drawsTested,open_panel30,open_sutta30,close_panel30,close_sutta30,jodi_panel30,jodi_sutta30,close_danger,close_snapback,jodi_better,jodi_worse
Sridevi,day,178,12.4,73,13,72.3,14.1,70.6,18.1,11.3,9,7
Time Bazar,day,153,15,68.6,17,68,17.6,68.6,24.8,5.2,7,15
Madhur Day,day,178,18,74.7,15.2,73,14.6,61.2,20.8,12.4,7,3
Milan Day,day,153,16.3,64.7,13.7,69.9,14.4,67.3,22.2,11.8,6,6
Rajdhani Day,day,153,20.3,73.9,11.1,69.9,11.1,67.3,22.9,7.8,4,5
Kalyan,day,153,14.4,66,16.3,68,17.6,66,20.3,9.8,10,3
Sridevi Night,night,178,14,74.7,12.9,66.9,14,62.9,22.5,9.6,9,5
Madhur Night,night,154,12.3,74.7,15.6,81.8,18.2,74,14.9,11,8,10
Milan Night,night,152,11.2,77,21.7,71.1,23.7,66.4,17.8,9.9,17,11
Kalyan Night,night,127,12.6,70.1,11,72.4,11,73.2,18.1,10.2,5,3
Rajdhani Night,night,127,16.5,72.4,16.5,69.3,18.1,70.1,22,11.8,11,5
Main Bazar,night,126,15.1,69,15.1,69.8,17.5,65.1,17.5,10.3,5,5
