market,session,drawsTested,open_panel30,open_sutta30,close_panel30,close_sutta30,jodi_panel30,jodi_sutta30,close_danger,close_snapback,jodi_better,jodi_worse
Sridevi,day,89,12.4,73,13.5,78.7,15.7,75.3,18,14.6,33,45
Time Bazar,day,76,19.7,81.6,21.1,71.1,19.7,69.7,21.1,6.6,37,31
Madhur Day,day,89,16.9,77.5,18,71.9,21.3,68.5,24.7,7.9,35,41
Milan Day,day,76,23.7,71.1,11.8,71.1,14.5,65.8,22.4,11.8,40,32
Rajdhani Day,day,76,17.1,76.3,15.8,68.4,15.8,68.4,26.3,10.5,33,34
Kalyan,day,76,15.8,67.1,18.4,71.1,19.7,68.4,15.8,11.8,31,36
Sridevi Night,night,89,12.4,76.4,13.5,69.7,13.5,57.3,13.5,7.9,42,39
Madhur Night,night,76,11.8,76.3,19.7,86.8,22.4,73.7,11.8,11.8,37,37
Milan Night,night,76,5.3,76.3,21.1,67.1,21.1,61.8,18.4,10.5,36,32
Kalyan Night,night,63,14.3,71.4,12.7,74.6,14.3,73,11.1,11.1,32,26
Rajdhani Night,night,63,15.9,71.4,15.9,65.1,19,66.7,23.8,12.7,29,30
Main Bazar,night,62,14.5,67.7,12.9,67.7,16.1,56.5,17.7,11.3,17,38
