market,session,drawsTested,sourceEnd,open_panel30,open_sutta30,open_avgRank,close_panel30,close_sutta30,close_avgRank,jodi_panel30,jodi_sutta30,jodi_avgRank,jodi_better,jodi_worse,danger_close,snapback_close
Sridevi,day,29,2026-06-23,6.9,82.8,106.9,17.2,82.8,105.2,13.8,75.9,110.2,8,17,13.8,17.2
Time Bazar,day,25,2026-06-23,24,80,92.8,20,64,96.8,16,60,95.5,10,13,20,8
Madhur Day,day,29,2026-06-23,17.2,79.3,98.9,24.1,82.8,86.3,31,79.3,81.3,13,11,20.7,13.8
Milan Day,day,25,2026-06-23,20,60,112,16,84,97.7,20,88,97.8,15,9,16,12
Rajdhani Day,day,25,2026-06-23,16,80,95.7,12,52,120.4,12,52,120.1,11,10,40,12
Kalyan,day,25,2026-06-23,16,64,108,8,52,120.3,8,56,121,8,13,16,12
Sridevi Night,night,29,2026-06-23,3.4,79.3,99.2,17.2,72.4,113.5,13.8,62.1,105.9,17,9,13.8,6.9
Madhur Night,night,25,2026-06-23,12,88,85.4,16,88,99.2,20,72,99.1,10,15,12,16
Milan Night,night,25,2026-06-23,4,68,130.9,24,64,98,24,64,93.5,14,8,24,16
Kalyan Night,night,21,2026-06-23,19,81,108.3,23.8,81,92.1,23.8,85.7,90.2,12,9,0,19
Rajdhani Night,night,21,2026-06-23,23.8,76.2,87.6,9.5,42.9,138.6,9.5,38.1,142.3,11,9,42.9,4.8
Main Bazar,night,21,2026-06-23,9.5,81,108.2,4.8,71.4,103,9.5,61.9,106.6,9,11,14.3,4.8
