date,market,open,close
2013-05-06,Rajdhani Day,235,245
2013-05-07,Rajdhani Day,347,190
2013-05-08,Rajdhani Day,157,790
2013-05-09,Rajdhani Day,479,134
2013-05-10,Rajdhani Day,358,167
2013-05-11,Rajdhani Day,239,578
2013-05-13,Rajdhani Day,158,240
2013-05-14,Rajdhani Day,560,179
2013-05-15,Rajdhani Day,290,110
2013-05-17,Rajdhani Day,130,468
2013-05-18,Rajdhani Day,289,129
2013-05-20,Rajdhani Day,790,479
2013-05-21,Rajdhani Day,899,239
2013-05-22,Rajdhani Day,115,150
2013-05-23,Rajdhani Day,149,567
2013-05-24,Rajdhani Day,370,347
2013-05-25,Rajdhani Day,590,156
2013-05-27,Rajdhani Day,178,446
2013-05-28,Rajdhani Day,168,269
2013-05-29,Rajdhani Day,457,127
2013-05-30,Rajdhani Day,800,139
2013-05-31,Rajdhani Day,448,156
2013-06-01,Rajdhani Day,145,488
2013-06-03,Rajdhani Day,570,367
2013-06-04,Rajdhani Day,126,118
2013-06-05,Rajdhani Day,778,357
2013-06-06,Rajdhani Day,579,100
2013-06-08,Rajdhani Day,677,370
2013-06-10,Rajdhani Day,680,256
2013-06-11,Rajdhani Day,299,248
2013-06-12,Rajdhani Day,277,188
2013-06-13,Rajdhani Day,236,129
2013-06-14,Rajdhani Day,480,180
2013-06-15,Rajdhani Day,178,224
2013-06-17,Rajdhani Day,570,158
2013-06-18,Rajdhani Day,460,367
2013-06-19,Rajdhani Day,790,559
2013-06-20,Rajdhani Day,450,179
2013-06-21,Rajdhani Day,288,122
2013-06-22,Rajdhani Day,157,147
2013-06-24,Rajdhani Day,180,590
2013-06-25,Rajdhani Day,128,560
2013-06-26,Rajdhani Day,148,680
2013-06-27,Rajdhani Day,880,788
2013-06-28,Rajdhani Day,356,149
2013-06-29,Rajdhani Day,488,358
2013-07-01,Rajdhani Day,159,124
2013-07-02,Rajdhani Day,224,459
2013-07-03,Rajdhani Day,149,190
2013-07-04,Rajdhani Day,788,470
2013-07-05,Rajdhani Day,790,290
2013-07-06,Rajdhani Day,238,688
2013-07-08,Rajdhani Day,680,159
2013-07-09,Rajdhani Day,233,690
2013-07-10,Rajdhani Day,239,146
2013-07-11,Rajdhani Day,144,268
2013-07-12,Rajdhani Day,450,126
2013-07-13,Rajdhani Day,190,233
2013-07-15,Rajdhani Day,567,156
2013-07-16,Rajdhani Day,455,290
2013-07-17,Rajdhani Day,137,660
2013-07-18,Rajdhani Day,388,116
2013-07-19,Rajdhani Day,468,160
2013-07-20,Rajdhani Day,347,246
2013-07-22,Rajdhani Day,880,459
2013-07-23,Rajdhani Day,568,190
2013-07-24,Rajdhani Day,359,577
2013-07-25,Rajdhani Day,189,129
2013-07-26,Rajdhani Day,146,388
2013-07-27,Rajdhani Day,269,489
2013-07-29,Rajdhani Day,137,112
2013-07-30,Rajdhani Day,223,345
2013-07-31,Rajdhani Day,789,139
2013-08-01,Rajdhani Day,390,778
2013-08-02,Rajdhani Day,366,260
2013-08-05,Rajdhani Day,246,169
2013-08-06,Rajdhani Day,457,589
2013-08-07,Rajdhani Day,190,889
2013-08-08,Rajdhani Day,160,788
2013-08-12,Rajdhani Day,116,367
2013-08-13,Rajdhani Day,278,240
2013-08-14,Rajdhani Day,340,699
2013-08-16,Rajdhani Day,360,669
2013-08-17,Rajdhani Day,568,456
2013-08-19,Rajdhani Day,169,267
2013-08-20,Rajdhani Day,990,369
2013-08-21,Rajdhani Day,250,240
2013-08-22,Rajdhani Day,280,235
2013-08-23,Rajdhani Day,388,158
2013-08-24,Rajdhani Day,237,470
2013-08-26,Rajdhani Day,245,677
2013-08-27,Rajdhani Day,260,668
2013-08-28,Rajdhani Day,159,156
2013-08-29,Rajdhani Day,112,137
2013-08-30,Rajdhani Day,119,467
2013-08-31,Rajdhani Day,680,167
2013-09-02,Rajdhani Day,240,190
2013-09-03,Rajdhani Day,158,199
2013-09-04,Rajdhani Day,268,678
2013-09-05,Rajdhani Day,477,188
2013-09-06,Rajdhani Day,246,446
2013-09-07,Rajdhani Day,480,589
2013-09-10,Rajdhani Day,138,160
2013-09-11,Rajdhani Day,488,345
2013-09-12,Rajdhani Day,560,779
2013-09-13,Rajdhani Day,129,234
2013-09-14,Rajdhani Day,470,445
2013-09-16,Rajdhani Day,128,119
2013-09-17,Rajdhani Day,569,167
2013-09-18,Rajdhani Day,779,259
2013-09-19,Rajdhani Day,490,778
2013-09-20,Rajdhani Day,557,134
2013-09-21,Rajdhani Day,578,138
2013-09-23,Rajdhani Day,359,126
2013-09-24,Rajdhani Day,159,467
2013-09-25,Rajdhani Day,167,478
2013-09-26,Rajdhani Day,122,145
2013-09-27,Rajdhani Day,146,180
2013-09-28,Rajdhani Day,246,150
2013-09-30,Rajdhani Day,256,899
2013-10-01,Rajdhani Day,688,270
2013-10-02,Rajdhani Day,125,357
2013-10-03,Rajdhani Day,599,368
2013-10-04,Rajdhani Day,568,156
2013-10-05,Rajdhani Day,689,469
2013-10-07,Rajdhani Day,189,155
2013-10-08,Rajdhani Day,157,679
2013-10-09,Rajdhani Day,345,137
2013-10-10,Rajdhani Day,123,270
2013-10-11,Rajdhani Day,490,234
