task,date,market,actual,baselineHit,hierarchicalHit,contextualHit,gateSelected,baselinePanels,hierarchicalPanels
open,2026-07-20,Sridevi,269,True,True,True,True,468 460 278 269 140 478 560 258 167 280 279 680 568 267 467 480 248 380 270 457 148 170 149 169 450 260 290 256 349 569 250 147 160 145 189 156 257 489 570 178 238 150 458 159 146 247 780 246 678 190 158 240 590 128 249 259 268 456 379 230,460 280 569 145 190 370 127 136 560 380 290 489 146 678 128 137 480 147 156 570 167 680 248 149 257 158 590 789 140 258 267 159 780 249 456 230 457 169 349 178 150 240 259 268 278 269 467 250 160 458 890 124 468 279 170 260 189 350 459 567
open,2026-07-21,Sridevi,268,True,True,False,True,258 279 569 278 280 290 169 267 560 189 568 256 259 138 238 250 590 156 190 270 150 380 349 680 468 159 167 460 158 178 260 589 390 570 128 170 149 356 140 269 350 389 489 248 230 369 478 249 467 379 126 160 268 148 459 450 257 145 457 789,569 280 190 460 389 145 370 136 290 560 380 128 489 146 678 137 138 156 589 390 570 246 480 147 590 680 167 158 149 356 248 257 258 267 159 140 230 249 780 456 169 259 150 349 178 268 457 790 278 250 269 467 279 189 468 260 170 350 369 459
open,2026-07-22,Sridevi,668,False,False,False,True,140 349 159 279 167 379 478 149 569 169 170 267 278 145 189 457 138 560 257 258 147 468 156 150 460 190 290 270 467 590 570 250 390 350 280 450 380 568 238 356 158 259 370 489 148 146 256 459 178 680 137 230 345 480 139 369 160 248 249 247,569 145 460 190 280 370 389 136 560 290 380 489 138 147 156 570 390 345 480 589 167 149 257 590 356 158 680 248 140 159 267 258 230 249 456 780 349 169 457 150 259 178 790 367 279 170 189 468 350 459 369 260 379 478 270 450 568 360 234 126
open,2026-07-23,Sridevi,246,False,False,False,True,478 457 147 178 167 170 467 140 278 258 468 279 460 570 267 568 150 149 145 159 349 560 138 379 257 270 148 780 450 156 189 489 169 380 158 280 480 458 190 680 157 247 370 250 590 678 137 350 248 456 238 146 789 256 567 290 160 259 168 459,560 489 380 678 147 570 138 156 480 345 390 589 167 149 257 158 680 590 248 789 140 258 267 159 780 456 168 249 457 178 150 349 169 259 367 790 467 278 458 250 160 368 890 179 170 468 279 189 350 567 459 260 478 568 379 270 450 126 234 360
open,2026-07-24,Sridevi,256,True,False,True,True,167 140 349 147 170 279 478 350 560 379 457 159 149 468 138 145 460 380 257 569 150 570 258 278 169 267 178 156 370 568 270 450 256 390 345 238 190 356 137 250 148 590 230 158 189 346 360 139 357 146 290 130 467 280 367 247 136 259 459 157,145 460 569 370 190 280 136 127 560 380 137 146 147 138 570 156 390 345 480 589 167 149 257 356 590 158 130 680 140 159 258 267 230 357 456 168 349 457 150 169 178 367 259 790 170 279 350 468 189 459 260 369 478 379 568 270 450 360 234 126
open,2026-07-25,Sridevi,135,False,False,False,True,349 159 279 258 379 167 145 149 569 238 169 138 140 278 257 457 156 356 250 147 467 468 350 560 270 150 249 178 590 390 170 259 568 290 478 189 380 190 267 460 459 139 148 230 137 450 146 248 570 346 158 357 280 369 345 247 489 370 125 126,145 569 190 460 280 370 389 136 560 290 380 137 138 156 147 390 570 345 589 480 167 149 257 356 590 248 158 130 159 258 140 249 267 230 357 168 349 169 457 150 178 259 367 358 279 468 350 170 189 459 369 125 379 270 568 478 450 126 360 234
open,2026-07-26,Sridevi,689,False,False,False,True,159 379 279 167 170 149 147 178 140 138 349 137 145 457 189 150 257 169 278 258 156 478 190 157 139 569 267 570 270 390 158 467 259 350 590 148 380 357 356 370 290 789 560 790 238 568 130 250 127 345 179 459 468 458 369 450 489 367 589 249,145 190 569 370 147 138 156 570 390 345 589 129 167 149 257 158 590 356 789 130 159 140 258 267 357 249 230 168 178 349 457 150 169 259 790 367 278 467 250 179 458 160 359 890 279 170 189 350 459 468 369 125 379 478 270 568 450 126 360 234
open,2026-07-27,Sridevi,469,False,False,False,True,167 178 279 170 278 157 379 478 140 169 159 570 560 189 138 270 380 190 267 349 147 457 460 149 458 258 569 290 257 468 467 150 280 780 680 590 390 568 789 156 790 370 678 137 145 148 250 168 489 480 238 450 158 260 259 360 160 367 139 127,190 460 569 280 370 145 127 389 560 380 290 678 570 138 147 390 156 480 589 679 167 149 257 680 590 789 158 248 140 159 267 258 780 168 230 249 178 169 349 457 150 790 259 367 279 170 189 468 260 369 378 459 379 478 270 568 450 360 180 126
open,2026-07-28,Sridevi,140,True,True,True,True,267 278 460 468 279 467 258 270 560 680 167 280 478 568 569 380 570 458 170 178 379 290 459 780 138 678 140 169 238 349 257 457 250 156 248 150 370 147 157 590 189 450 480 260 360 356 159 190 367 489 567 350 160 390 230 146 168 790 148 789,460 280 569 370 190 389 145 127 560 380 290 678 680 167 257 248 590 356 789 158 267 258 780 140 159 230 168 456 178 169 349 457 150 367 790 240 278 467 458 250 160 368 269 890 468 279 170 459 189 260 567 350 270 478 568 379 450 360 126 234
open,2026-07-29,Sridevi,345,True,True,False,True,147 170 138 478 145 349 167 149 278 178 270 157 150 137 379 148 257 267 279 458 238 460 370 159 380 459 467 230 468 280 258 190 189 250 350 146 130 450 247 234 156 570 290 169 120 345 248 457 158 480 390 560 134 127 240 140 139 346 160 136,145 460 370 280 190 127 136 569 137 380 146 290 560 128 489 245 147 138 156 570 345 480 390 237 167 149 257 130 248 158 356 680 267 159 230 258 140 780 357 249 349 178 150 169 457 240 367 259 170 279 459 468 189 350 134 125 478 270 379 450
open,2026-07-30,Sridevi,126,True,False,False,True,147 167 258 138 145 159 170 457 279 178 150 349 157 257 267 379 278 156 149 458 459 137 467 478 169 570 568 560 270 460 238 468 148 158 350 569 250 189 190 146 356 259 370 450 247 125 380 357 126 139 127 234 367 130 160 280 230 456 590 249,145 460 569 190 370 127 280 136 137 560 146 380 290 128 489 678 167 257 149 158 356 130 590 248 258 159 267 357 230 456 249 168 457 178 150 349 169 259 367 240 278 458 467 250 160 124 269 368 170 279 459 468 350 189 125 260 379 478 568 270
open,2026-07-20,Time Bazar,169,True,True,True,True,240 245 249 460 569 250 145 349 479 247 149 459 590 234 150 246 257 470 450 290 457 235 190 140 135 239 120 259 345 280 260 147 358 560 169 357 237 159 468 189 236 578 490 167 289 129 256 180 579 270 469 350 128 390 157 258 230 347 158 567,460 569 145 479 235 190 280 578 245 470 290 560 236 579 128 380 246 345 147 237 129 390 480 570 149 590 257 239 167 347 158 356 249 140 357 159 240 349 150 457 259 358 169 268 459 260 468 189 350 567 279 134 234 450 135 289 180 270 469 126
open,2026-07-21,Time Bazar,270,True,True,False,True,479 678 189 478 180 578 147 789 178 236 389 468 247 380 169 190 280 157 127 168 689 569 128 249 237 158 680 347 120 460 367 270 257 149 179 470 357 268 358 167 240 145 135 250 137 170 457 378 289 238 780 258 279 679 129 267 136 246 590 150,479 578 389 190 280 127 569 460 678 236 380 128 470 137 245 290 147 237 679 129 246 480 138 589 247 157 689 120 789 158 680 347 257 149 167 590 178 169 367 268 358 240 457 150 189 468 170 378 279 260 350 567 478 180 270 135 289 568 234 379
open,2026-07-22,Time Bazar,259,True,True,True,True,479 247 290 257 270 249 279 239 127 789 237 169 259 250 569 120 236 579 240 289 147 790 129 590 457 190 157 245 349 470 578 179 280 167 267 678 128 357 189 478 235 459 149 347 679 246 234 269 230 460 178 260 126 150 258 268 159 145 180 135,479 127 569 190 578 280 235 460 290 236 579 245 470 678 128 137 237 147 129 679 246 589 390 570 247 120 157 256 257 239 789 590 167 149 347 248 169 259 240 790 457 349 178 150 279 189 459 260 350 567 170 468 270 289 478 234 126 180 135 379
open,2026-07-23,Time Bazar,678,False,False,False,True,240 479 246 120 249 147 460 247 190 169 149 245 145 180 127 140 236 569 349 270 167 146 128 234 250 150 478 470 135 189 126 134 259 257 290 129 468 280 237 260 459 268 457 248 168 480 347 158 239 345 450 490 157 159 137 178 235 279 289 469,479 460 190 145 127 569 280 235 245 236 146 128 470 290 137 380 246 147 129 237 480 345 390 570 120 247 490 157 149 167 257 248 347 158 239 130 240 169 349 150 259 268 457 178 189 134 468 260 459 279 350 170 180 270 234 478 135 126 450 289
open,2026-07-24,Time Bazar,148,False,False,False,True,236 350 180 349 130 230 240 190 135 358 150 460 380 590 290 390 340 569 250 120 239 360 680 235 280 270 140 470 237 137 347 357 560 169 238 160 356 145 136 260 367 389 128 245 479 268 257 189 678 345 480 490 369 134 157 149 259 348 123 167,190 460 569 235 280 145 136 389 236 380 290 470 137 560 128 245 390 237 345 480 138 147 570 246 130 590 239 680 347 356 257 149 230 140 357 348 349 240 358 150 169 367 268 259 350 260 189 369 134 170 468 378 180 135 360 270 450 234 478 289
open,2026-07-25,Time Bazar,557,False,False,False,True,236 245 569 250 280 240 678 578 135 350 680 270 180 120 290 259 590 257 268 349 249 380 158 258 128 478 190 479 460 237 169 235 247 238 239 189 150 468 246 568 256 357 289 260 589 480 248 145 389 560 234 127 580 459 348 147 457 689 230 159,569 280 578 190 479 460 235 145 236 245 678 290 380 128 560 470 237 246 589 480 147 129 345 390 120 247 238 256 680 590 257 158 239 248 167 356 240 259 268 349 169 150 457 178 350 189 468 260 459 567 125 369 135 270 180 478 568 289 234 450
