task,date,market,route,actual,routedHit,baselineHit,topPanels
open,2026-07-06,Sridevi,dynamic_wd1,378,True,True,150 268 180 170 356 269 350 258 169 130 156 159 160 167 267 468 250 280 378 189 569 359 369 560 230 590 289 126 138 140 368 460 190 380 149 568 578 680 349 270 567 260 580 390 379 360 257 469 478 780 145 136 148 450 279 278 158 358 467 357
open,2026-07-07,Sridevi,dynamic_wd1,579,False,True,268 279 278 289 258 238 378 478 230 269 380 379 280 368 267 359 257 578 248 189 167 348 349 138 358 789 369 270 350 357 388 468 130 680 367 780 170 390 180 178 356 250 169 347 247 568 149 457 370 480 126 290 360 260 678 389 148 159 137 458
open,2026-07-08,Sridevi,dynamic_wd1,180,True,True,279 457 149 170 257 258 349 269 147 459 240 247 159 150 270 450 289 250 145 167 478 140 267 278 467 350 379 359 180 590 248 578 347 249 230 570 268 460 357 458 130 124 169 148 469 125 290 280 567 126 160 179 190 156 340 134 127 390 256 560
open,2026-07-09,Sridevi,dynamic_wd1,469,False,False,167 156 356 159 169 569 359 150 350 457 170 560 268 160 468 578 567 459 279 257 357 267 450 145 590 369 130 140 349 269 478 460 467 189 258 250 680 149 158 379 568 146 570 138 360 256 456 367 136 390 148 270 345 230 368 278 580 190 126 458
open,2026-07-10,Sridevi,dynamic_wd1,117,False,False,149 169 159 349 189 279 167 459 145 379 369 269 457 156 359 147 569 179 146 170 140 468 148 478 150 289 160 138 190 467 267 469 178 268 356 134 460 458 258 139 489 347 590 578 567 249 679 248 126 789 278 450 130 456 257 490 390 589 247 348
open,2026-07-11,Sridevi,dynamic_wd1,578,True,True,279 268 267 269 167 170 278 257 169 126 478 149 147 289 270 160 258 247 189 156 457 468 150 467 140 240 280 460 178 159 248 179 246 230 260 127 369 290 379 250 124 148 130 138 569 146 780 567 349 125 128 578 256 789 680 238 145 190 359 259
open,2026-07-12,Sridevi,dynamic_wd1,580,True,True,350 279 268 230 250 260 270 258 170 257 278 238 267 280 380 269 357 570 167 150 780 359 379 130 370 457 289 680 560 138 349 356 478 248 378 358 450 160 290 240 580 367 460 369 247 567 569 468 159 360 480 178 235 368 125 568 347 256 169 189
open,2026-07-13,Sridevi,dynamic_wd1,700,False,False,350 150 170 359 158 130 159 258 358 450 357 250 356 380 590 570 457 379 140 230 478 349 145 459 390 780 257 560 270 138 370 345 149 189 190 279 348 156 480 458 569 680 280 567 147 347 238 468 289 340 589 148 460 568 578 180 167 134 369 240
open,2026-07-14,Sridevi,dynamic_wd1,348,False,False,257 279 258 457 159 268 167 269 158 250 478 267 145 278 170 359 149 150 289 156 569 459 169 260 357 270 259 256 468 350 567 568 560 147 125 247 189 450 249 356 570 126 458 379 590 467 160 157 248 456 358 140 178 349 578 789 238 230 780 369
open,2026-07-15,Sridevi,dynamic_wd1,289,True,False,279 349 289 268 149 478 189 468 379 269 258 138 148 278 369 789 238 169 359 380 158 378 167 159 249 178 358 368 489 389 459 147 248 170 367 347 140 467 458 388 457 139 890 568 130 267 390 480 348 569 589 134 357 680 168 356 350 780 145 247
open,2026-07-16,Sridevi,dynamic_wd1,235,False,False,478 349 279 379 167 149 140 468 170 278 347 467 378 147 457 268 267 359 367 189 148 169 247 270 459 380 248 357 138 369 238 179 390 269 789 480 790 159 145 130 158 249 230 460 134 356 350 780 346 370 257 137 146 450 178 139 569 340 458 258
open,2026-07-17,Sridevi,dynamic_wd1,359,True,True,170 270 278 267 258 140 150 279 457 780 167 478 268 250 570 257 280 260 178 450 160 567 158 379 460 680 247 568 147 350 248 145 156 230 159 480 467 380 357 269 468 238 356 130 560 367 240 347 138 349 256 358 378 458 149 370 359 180 148 790
open,2026-07-18,Sridevi,dynamic_wd1,347,False,True,140 268 158 150 258 189 478 170 468 149 450 568 458 280 279 159 350 460 349 269 160 380 480 459 680 250 148 780 169 260 457 560 138 130 569 278 240 248 156 230 145 190 590 369 290 570 890 180 358 370 489 147 390 167 356 789 589 379 238 256
open,2026-07-19,Sridevi,dynamic_wd1,268,True,True,279 269 349 268 149 259 258 159 189 169 459 248 238 278 379 267 569 158 167 369 249 478 468 138 247 260 257 170 457 290 250 145 289 147 280 148 230 126 489 140 179 270 789 125 458 357 178 139 234 350 246 589 467 367 190 389 568 150 567 240
open,2026-07-06,Time Bazar,lowrank_d25,234,True,False,246 189 239 268 234 126 580 160 146 137 670 569 130 147 230 178 389 270 258 368 278 390 169 168 148 237 490 349 145 280 478 124 678 149 267 790 340 158 789 560 179 467 468 469 138 356 128 257 279 380 120 348 235 458 170 568 127 123 250 399
open,2026-07-07,Time Bazar,lowrank_d25,266,False,False,589 239 357 689 289 890 690 127 390 130 269 590 160 680 347 169 180 247 570 158 569 367 358 279 259 256 168 478 128 360 480 167 290 237 235 126 467 246 457 350 230 146 468 120 236 140 340 280 159 134 370 249 150 240 780 790 250 368 460 469
open,2026-07-08,Time Bazar,lowrank_d25,470,True,False,347 130 147 379 127 479 189 170 246 340 168 120 123 370 137 470 390 289 467 235 247 135 357 277 260 478 160 249 270 569 148 237 490 128 670 345 169 145 278 477 369 358 349 250 579 367 678 378 279 157 167 580 139 780 179 567 239 269 468 368
