Stable candidates: 93
Stable gated candidates: 0
Sridevi.close | lag4:Time Bazar.closeSutta.source | 30d +3 side / +3 jodi | 730d +16 side / +6 jodi | split 9/3/4
Sridevi.close | lag4:Time Bazar.closePanel.sum.source | 30d +3 side / +3 jodi | 730d +16 side / +6 jodi | split 9/3/4
Madhur Day.close | lag5:Milan Night.jodi.diff.source | 30d +3 side / +3 jodi | 730d +4 side / +6 jodi | split 1/2/1
Time Bazar.close | previousWeekday:Time Bazar.jodi.diff.opposite | 30d +2 side / +2 jodi | 730d +14 side / +8 jodi | split 7/6/1
Sridevi.close | lag2:Sridevi Night.openPanel.middle.source | 30d +2 side / +2 jodi | 730d +14 side / +6 jodi | split 9/3/2
Sridevi.close | lag2:Main Bazar.openPanel.outerDiff.source | 30d +2 side / +2 jodi | 730d +12 side / +9 jodi | split 10/1/1
Time Bazar.close | lag6:Time Bazar.jodi.diff.opposite | 30d +2 side / +2 jodi | 730d +12 side / +7 jodi | split 6/5/1
Sridevi.close | lag3:Madhur Night.closeSutta.opposite | 30d +2 side / +2 jodi | 730d +11 side / +6 jodi | split 9/1/1
Sridevi.close | lag3:Madhur Night.closePanel.sum.opposite | 30d +2 side / +2 jodi | 730d +11 side / +6 jodi | split 9/1/1
Sridevi.close | lag7:Kalyan.openPanel.innerRightSum.source | 30d +2 side / +2 jodi | 730d +11 side / +4 jodi | split 6/2/3
Sridevi.close | lag2:Kalyan.openPanel.innerLeftDiff.opposite | 30d +2 side / +2 jodi | 730d +8 side / +2 jodi | split 4/3/1
Time Bazar.close | lag3:Kalyan.openPanel.last.opposite | 30d +2 side / +2 jodi | 730d +6 side / +5 jodi | split 4/2/0
Time Bazar.close | lag3:Kalyan.closePanel.last.opposite | 30d +2 side / +2 jodi | 730d +6 side / +2 jodi | split 3/1/2
Time Bazar.close | previousDraw:Sridevi Night.openPanel.innerRightDiff.opposite | 30d +2 side / +2 jodi | 730d +5 side / +3 jodi | split 1/3/1
Sridevi.close | previousMonthDay:Rajdhani Day.closePanel.innerRightSum.source | 30d +2 side / +2 jodi | 730d +4 side / +4 jodi | split 3/1/0
Madhur Day.close | previousWeekday:Milan Night.openSutta.opposite | 30d +2 side / +1 jodi | 730d +7 side / +6 jodi | split 0/6/1
Madhur Day.close | previousWeekday:Milan Night.openPanel.sum.opposite | 30d +2 side / +1 jodi | 730d +7 side / +6 jodi | split 0/6/1
Madhur Day.close | sameDay:Time Bazar.closePanel.innerLeftDiff.sourceOpposite | 30d +2 side / +1 jodi | 730d +4 side / +3 jodi | split 3/0/1
Madhur Day.close | lag5:Madhur Day.openPanel.middle.sourceOpposite | 30d +2 side / +1 jodi | 730d +4 side / +2 jodi | split 3/1/0
Madhur Day.close | lag4:Main Bazar.openPanel.first.source | 30d +2 side / +1 jodi | 730d +2 side / +2 jodi | split 0/0/2
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-deep-close-0.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-deep-close-0.md
