Stable candidates: 301
Stable gated candidates: 0
Rajdhani Day.close | sameDay:Madhur Day.closePanel.product.source | 30d +4 side / +4 jodi | 730d +2 side / +4 jodi | split 0/1/1
Rajdhani Day.close | lag7:Sridevi Night.closePanel.innerLeftDiff.opposite | 30d +4 side / +3 jodi | 730d +3 side / +4 jodi | split 1/2/0
Rajdhani Day.close | previousWeekday:Sridevi Night.closePanel.innerLeftDiff.opposite | 30d +4 side / +3 jodi | 730d +2 side / +4 jodi | split 0/2/0
Rajdhani Day.close | lag2:Sridevi.openPanel.last.opposite | 30d +4 side / +2 jodi | 730d +3 side / +3 jodi | split 0/0/3
Milan Day.close | previousMonthDay:Madhur Day.openPanel.last.opposite | 30d +3 side / +3 jodi | 730d +18 side / +15 jodi | split 9/0/9
Rajdhani Day.close | previousMonthDay:Rajdhani Day.closePanel.innerLeftSum.sourceOpposite | 30d +3 side / +3 jodi | 730d +14 side / +8 jodi | split 3/8/3
Rajdhani Day.close | previousMonthDay:Rajdhani Day.closePanel.innerLeftSum.opposite | 30d +3 side / +3 jodi | 730d +11 side / +7 jodi | split 2/5/4
Rajdhani Day.close | lag5:Milan Night.openPanel.middle.sourceOpposite | 30d +3 side / +3 jodi | 730d +10 side / +4 jodi | split 0/9/1
Rajdhani Day.close | lag5:Kalyan.openPanel.innerLeftDiff.opposite | 30d +3 side / +3 jodi | 730d +8 side / +6 jodi | split 2/4/2
Rajdhani Day.close | previousMonthDay:Madhur Day.openPanel.innerLeftDiff.source | 30d +3 side / +3 jodi | 730d +5 side / +11 jodi | split 2/2/1
Rajdhani Day.close | previousDraw:Kalyan Night.closePanel.last.source | 30d +3 side / +3 jodi | 730d +4 side / +6 jodi | split 0/4/0
Milan Day.close | lag2:Milan Night.closePanel.outerSum.opposite | 30d +3 side / +3 jodi | 730d +3 side / +11 jodi | split 2/0/1
Rajdhani Day.close | lag2:Milan Night.openPanel.last.source | 30d +3 side / +3 jodi | 730d +3 side / +8 jodi | split 0/1/2
Rajdhani Day.close | lag5:Sridevi Night.jodi.diff.opposite | 30d +3 side / +3 jodi | 730d +2 side / +2 jodi | split 1/1/0
Rajdhani Day.close | lag7:Sridevi.closePanel.last.opposite | 30d +3 side / +2 jodi | 730d +17 side / +13 jodi | split 15/2/0
Rajdhani Day.close | previousWeekday:Sridevi.closePanel.last.opposite | 30d +3 side / +2 jodi | 730d +17 side / +11 jodi | split 14/3/0
Kalyan.close | previousDraw:Main Bazar.jodi.sum.opposite | 30d +3 side / +2 jodi | 730d +9 side / +9 jodi | split 5/2/2
Rajdhani Day.close | previousWeekday:Main Bazar.openPanel.innerLeftSum.houseLowFirst | 30d +3 side / +2 jodi | 730d +8 side / +10 jodi | split 1/1/6
Rajdhani Day.close | lag6:Sridevi Night.openPanel.span.opposite | 30d +3 side / +2 jodi | 730d +8 side / +7 jodi | split 4/1/3
Rajdhani Day.close | lag3:Kalyan.closePanel.last.opposite | 30d +3 side / +2 jodi | 730d +7 side / +6 jodi | split 2/5/0
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-deep-close-1.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-deep-close-1.md
