Stable candidates: 495
Stable gated candidates: 0
Kalyan Night.close | lag7:Rajdhani Night.closePanel.outerDiff.oppositeNearTwo | 30d +3 side / +3 jodi | 730d +18 side / +10 jodi | split 4/14/0
Kalyan Night.close | lag3:Rajdhani Day.openPanel.outerDiff.source | 30d +3 side / +3 jodi | 730d +9 side / +6 jodi | split 4/0/5
Kalyan Night.close | previousWeekday:Time Bazar.openPanel.innerRightDiff.opposite | 30d +3 side / +3 jodi | 730d +8 side / +7 jodi | split 1/1/6
Kalyan Night.close | sameDay:Sridevi Night.openSutta.sourceOpposite | 30d +3 side / +2 jodi | 730d +13 side / +2 jodi | split 6/3/4
Kalyan Night.close | sameDay:Sridevi Night.openPanel.sum.sourceOpposite | 30d +3 side / +2 jodi | 730d +13 side / +2 jodi | split 6/3/4
Kalyan Night.close | lag5:Madhur Day.closePanel.innerLeftDiff.opposite | 30d +3 side / +2 jodi | 730d +9 side / +6 jodi | split 3/2/4
Sridevi Night.close | lag7:Madhur Day.openPanel.innerRightSum.opposite | 30d +3 side / +2 jodi | 730d +8 side / +6 jodi | split 1/0/7
Kalyan Night.close | lag6:Rajdhani Night.openPanel.innerLeftSum.source | 30d +3 side / +2 jodi | 730d +7 side / +6 jodi | split 1/0/6
Kalyan Night.close | lag6:Main Bazar.jodi.sum.source | 30d +3 side / +2 jodi | 730d +4 side / +7 jodi | split 1/2/1
Kalyan Night.close | lag3:Sridevi.openPanel.outerSum.source | 30d +3 side / +2 jodi | 730d +3 side / +2 jodi | split 0/2/1
Kalyan Night.close | previousDraw:Madhur Day.jodi.diff.sourceOpposite | 30d +3 side / +2 jodi | 730d +3 side / +0 jodi | split 1/2/0
Kalyan Night.close | lag3:Madhur Day.openPanel.innerLeftSum.mirrorNear | 30d +2 side / +3 jodi | 730d +11 side / +8 jodi | split 4/4/3
Kalyan Night.close | lag2:Milan Night.openPanel.innerLeftSum.source | 30d +2 side / +3 jodi | 730d +7 side / +7 jodi | split 5/0/2
Kalyan Night.close | lag4:Madhur Night.closeSutta.subtractThreeCycle | 30d +2 side / +2 jodi | 730d +20 side / +14 jodi | split 7/7/6
Kalyan Night.close | lag4:Madhur Night.closePanel.sum.subtractThreeCycle | 30d +2 side / +2 jodi | 730d +20 side / +14 jodi | split 7/7/6
Sridevi Night.close | lag4:Madhur Night.closePanel.middle.source | 30d +2 side / +2 jodi | 730d +17 side / +18 jodi | split 11/4/2
Kalyan Night.close | previousDraw:Kalyan.closePanel.outerDiff.sourceOpposite | 30d +2 side / +2 jodi | 730d +17 side / +8 jodi | split 6/5/6
Kalyan Night.close | lag4:Madhur Day.closePanel.outerSum.opposite | 30d +2 side / +2 jodi | 730d +16 side / +7 jodi | split 8/5/3
Kalyan Night.close | lag2:Madhur Day.openPanel.span.opposite | 30d +2 side / +2 jodi | 730d +15 side / +6 jodi | split 8/2/5
Sridevi Night.close | lag6:Milan Night.closePanel.product.source | 30d +2 side / +2 jodi | 730d +14 side / +7 jodi | split 7/1/6
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-deep-close-2.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-deep-close-2.md
