Stable candidates: 34
Stable gated candidates: 0
Rajdhani Night.close | previousMonthDay:Madhur Day.jodi.diff.sourceOpposite | 30d +2 side / +3 jodi | 730d +2 side / +2 jodi | split 2/0/0
Milan Night.close | previousDraw:Madhur Day.closePanel.outerSum.source | 30d +2 side / +2 jodi | 730d +3 side / +4 jodi | split 1/0/2
Milan Night.close | lag2:Sridevi Night.openPanel.middle.source | 30d +2 side / +2 jodi | 730d +3 side / +3 jodi | split 2/0/1
Rajdhani Night.close | previousWeekday:Rajdhani Day.closePanel.outerSum.opposite | 30d +2 side / +2 jodi | 730d +1 side / +1 jodi | split 0/0/1
Milan Night.close | lag7:Kalyan Night.openPanel.innerRightSum.source | 30d +1 side / +2 jodi | 730d +8 side / +1 jodi | split 6/1/1
Main Bazar.close | lag4:Time Bazar.openPanel.innerRightSum.opposite | 30d +1 side / +1 jodi | 730d +13 side / +7 jodi | split 4/3/6
Milan Night.close | lag7:Time Bazar.openPanel.first.source | 30d +1 side / +1 jodi | 730d +11 side / +2 jodi | split 9/2/0
Main Bazar.close | lag2:Sridevi.closePanel.first.opposite | 30d +1 side / +1 jodi | 730d +10 side / +11 jodi | split 2/2/6
Rajdhani Night.close | lag2:Milan Night.openPanel.product.source | 30d +1 side / +1 jodi | 730d +10 side / +10 jodi | split 6/1/3
Rajdhani Night.close | previousMonthDay:Rajdhani Day.openPanel.span.opposite | 30d +1 side / +1 jodi | 730d +8 side / +3 jodi | split 3/0/5
Rajdhani Night.close | previousMonthDay:Madhur Day.closeSutta.source | 30d +1 side / +1 jodi | 730d +7 side / +7 jodi | split 5/1/1
Rajdhani Night.close | previousMonthDay:Madhur Day.closePanel.sum.source | 30d +1 side / +1 jodi | 730d +7 side / +7 jodi | split 5/1/1
Rajdhani Night.close | lag3:Rajdhani Day.jodi.diff.source | 30d +1 side / +1 jodi | 730d +7 side / +4 jodi | split 5/0/2
Rajdhani Night.close | lag2:Time Bazar.closePanel.span.source | 30d +1 side / +1 jodi | 730d +6 side / +4 jodi | split 2/1/3
Rajdhani Night.close | previousMonthDay:Time Bazar.closePanel.innerLeftSum.sourceOpposite | 30d +1 side / +1 jodi | 730d +6 side / +2 jodi | split 1/1/4
Rajdhani Night.close | lag5:Milan Day.openPanel.innerLeftDiff.opposite | 30d +1 side / +1 jodi | 730d +5 side / +8 jodi | split 3/0/2
Rajdhani Night.close | previousDraw:Sridevi Night.openPanel.innerRightDiff.opposite | 30d +1 side / +1 jodi | 730d +5 side / +5 jodi | split 0/0/5
Rajdhani Night.close | lag7:Main Bazar.jodi.diff.source | 30d +1 side / +1 jodi | 730d +5 side / +3 jodi | split 2/3/0
Main Bazar.close | sameDay:Kalyan.openPanel.innerRightDiff.opposite | 30d +1 side / +1 jodi | 730d +5 side / +0 jodi | split 1/0/4
Main Bazar.close | lag2:Milan Night.openPanel.outerDiff.source | 30d +1 side / +1 jodi | 730d +4 side / +6 jodi | split 3/0/1
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-deep-close-3.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-deep-close-3.md
