Stable candidates: 161
Stable gated candidates: 8
Main Bazar.open | previousWeekday:Milan Night.closeSutta.source | 30d +3 side / +3 jodi | 730d +13 side / +10 jodi | split 6/3/4
Main Bazar.open | previousWeekday:Milan Night.closePanel.sum.source | 30d +3 side / +3 jodi | 730d +13 side / +10 jodi | split 6/3/4
Rajdhani Night.open | lag7:Kalyan.openSutta.source | 30d +3 side / +3 jodi | 730d +8 side / +3 jodi | split 6/0/2
Rajdhani Night.open | lag7:Kalyan.openPanel.sum.source | 30d +3 side / +3 jodi | 730d +8 side / +3 jodi | split 6/0/2
Rajdhani Night.open | lag3:Main Bazar.openPanel.last.sourceOpposite | 30d +3 side / +2 jodi | 730d +12 side / +12 jodi | split 5/4/3
Rajdhani Night.open | previousWeekday:Milan Day.openPanel.last.mirrorNear | 30d +3 side / +2 jodi | 730d +7 side / +8 jodi | split 4/1/2
Main Bazar.open | lag7:Rajdhani Day.closeSutta.source | 30d +2 side / +2 jodi | 730d +14 side / +11 jodi | split 10/0/4
Main Bazar.open | lag7:Rajdhani Day.closePanel.sum.source | 30d +2 side / +2 jodi | 730d +14 side / +11 jodi | split 10/0/4
Main Bazar.open | previousDraw:Time Bazar.openPanel.first.opposite | 30d +2 side / +2 jodi | 730d +8 side / +6 jodi | split 4/0/4
Rajdhani Night.open | lag2:Madhur Day.closePanel.middle.source | 30d +2 side / +2 jodi | 730d +8 side / +5 jodi | split 3/1/4
Main Bazar.open | previousWeekday:Time Bazar.openSutta.sourceOpposite | 30d +2 side / +2 jodi | 730d +7 side / +11 jodi | split 0/1/6
Main Bazar.open | previousWeekday:Time Bazar.openPanel.sum.sourceOpposite | 30d +2 side / +2 jodi | 730d +7 side / +11 jodi | split 0/1/6
Main Bazar.open | lag2:Time Bazar.closePanel.middle.source | 30d +2 side / +2 jodi | 730d +7 side / +9 jodi | split 6/0/1
Main Bazar.open | lag7:Time Bazar.openPanel.outerSum.source | 30d +2 side / +2 jodi | 730d +7 side / +8 jodi | split 4/1/2
Main Bazar.open | previousWeekday:Time Bazar.openSutta.opposite | 30d +2 side / +2 jodi | 730d +7 side / +8 jodi | split 3/0/4
Main Bazar.open | previousWeekday:Time Bazar.openPanel.sum.opposite | 30d +2 side / +2 jodi | 730d +7 side / +8 jodi | split 3/0/4
Rajdhani Night.open | lag2:Milan Night.closePanel.first.sourceOpposite | 30d +2 side / +2 jodi | 730d +7 side / +5 jodi | split 6/1/0
Main Bazar.open | lag3:Madhur Night.closeSutta.source | 30d +2 side / +2 jodi | 730d +6 side / +7 jodi | split 3/3/0
Main Bazar.open | lag3:Madhur Night.closePanel.sum.source | 30d +2 side / +2 jodi | 730d +6 side / +7 jodi | split 3/3/0
Main Bazar.open | sameDay:Madhur Night.closeSutta.opposite | 30d +2 side / +2 jodi | 730d +6 side / +6 jodi | split 3/0/3
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-gated-close-3.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-gated-close-3.md
