Stable candidates: 169
Stable gated candidates: 0
Kalyan Night.close | previousDraw:Madhur Night.closePanel.middle.addThreeCycle | 30d +3 side / +3 jodi | 730d +24 side / +10 jodi | split 6/15/3
Kalyan Night.close | lag3:Rajdhani Day.openPanel.outerDiff.source | 30d +3 side / +3 jodi | 730d +9 side / +6 jodi | split 4/0/5
Kalyan Night.close | sameDay:Sridevi Night.openSutta.sourceOpposite | 30d +3 side / +2 jodi | 730d +13 side / +2 jodi | split 6/3/4
Kalyan Night.close | sameDay:Sridevi Night.openPanel.sum.sourceOpposite | 30d +3 side / +2 jodi | 730d +13 side / +2 jodi | split 6/3/4
Kalyan Night.close | lag3:Sridevi.openPanel.outerSum.source | 30d +3 side / +2 jodi | 730d +3 side / +2 jodi | split 0/2/1
Kalyan Night.close | lag7:Kalyan Night.closePanel.outerDiff.addThreeCycle | 30d +2 side / +2 jodi | 730d +18 side / +5 jodi | split 13/3/2
Kalyan Night.close | previousDraw:Kalyan.closePanel.outerDiff.sourceOpposite | 30d +2 side / +2 jodi | 730d +17 side / +8 jodi | split 6/5/6
Kalyan Night.close | lag7:Madhur Day.openPanel.last.oppositeNearTwo | 30d +2 side / +2 jodi | 730d +11 side / +0 jodi | split 4/3/4
Kalyan Night.close | previousWeekday:Main Bazar.openPanel.outerDiff.sourceOpposite | 30d +2 side / +2 jodi | 730d +10 side / +12 jodi | split 3/4/3
Sridevi Night.close | lag2:Rajdhani Night.closeSutta.source | 30d +2 side / +2 jodi | 730d +10 side / +8 jodi | split 7/0/3
Sridevi Night.close | lag2:Rajdhani Night.closePanel.sum.source | 30d +2 side / +2 jodi | 730d +10 side / +8 jodi | split 7/0/3
Sridevi Night.close | sameDay:Rajdhani Day.openPanel.outerSum.source | 30d +2 side / +2 jodi | 730d +9 side / +12 jodi | split 2/4/3
Madhur Night.close | lag2:Milan Night.openPanel.outerSum.opposite | 30d +2 side / +2 jodi | 730d +8 side / +9 jodi | split 2/4/2
Kalyan Night.close | lag7:Sridevi Night.closePanel.first.source | 30d +2 side / +2 jodi | 730d +7 side / +3 jodi | split 2/4/1
Kalyan Night.close | lag3:Rajdhani Night.openPanel.last.source | 30d +2 side / +2 jodi | 730d +6 side / +6 jodi | split 4/1/1
Kalyan Night.close | lag7:Time Bazar.closePanel.outerDiff.opposite | 30d +2 side / +2 jodi | 730d +6 side / +2 jodi | split 0/3/3
Kalyan Night.close | previousWeekday:Sridevi Night.closePanel.first.source | 30d +2 side / +2 jodi | 730d +6 side / +2 jodi | split 2/4/0
Kalyan Night.close | lag3:Milan Night.openPanel.outerSum.source | 30d +2 side / +2 jodi | 730d +5 side / +4 jodi | split 4/0/1
Sridevi Night.close | previousWeekday:Rajdhani Day.closePanel.first.sourceOpposite | 30d +2 side / +1 jodi | 730d +14 side / +10 jodi | split 4/3/7
Kalyan Night.close | lag7:Milan Night.closePanel.outerSum.oppositeNearTwo | 30d +2 side / +1 jodi | 730d +13 side / +4 jodi | split 8/2/3
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-preserve2-close-2.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-preserve2-close-2.md
