Stable candidates: 31
Stable gated candidates: 0
Sridevi.close | lag2:Sridevi Night.openPanel.middle.source | 30d +2 side / +2 jodi | 730d +14 side / +6 jodi | split 9/3/2
Sridevi.close | lag2:Main Bazar.openPanel.outerDiff.source | 30d +2 side / +2 jodi | 730d +12 side / +9 jodi | split 10/1/1
Sridevi.close | lag3:Madhur Night.closeSutta.opposite | 30d +2 side / +2 jodi | 730d +11 side / +6 jodi | split 9/1/1
Sridevi.close | lag3:Madhur Night.closePanel.sum.opposite | 30d +2 side / +2 jodi | 730d +11 side / +6 jodi | split 9/1/1
Time Bazar.close | lag3:Kalyan.openPanel.last.opposite | 30d +2 side / +2 jodi | 730d +6 side / +5 jodi | split 4/2/0
Time Bazar.close | lag3:Kalyan.closePanel.last.opposite | 30d +2 side / +2 jodi | 730d +6 side / +2 jodi | split 3/1/2
Madhur Day.close | previousWeekday:Milan Night.openSutta.opposite | 30d +2 side / +1 jodi | 730d +7 side / +6 jodi | split 0/6/1
Madhur Day.close | previousWeekday:Milan Night.openPanel.sum.opposite | 30d +2 side / +1 jodi | 730d +7 side / +6 jodi | split 0/6/1
Sridevi.close | lag7:Milan Day.openPanel.last.subtractThreeCycle | 30d +1 side / +3 jodi | 730d +16 side / +2 jodi | split 1/11/4
Time Bazar.close | lag7:Madhur Day.closePanel.middle.mirrorNear | 30d +1 side / +3 jodi | 730d +9 side / +10 jodi | split 4/5/0
Time Bazar.close | lag3:Sridevi.openPanel.outerDiff.opposite | 30d +1 side / +2 jodi | 730d +11 side / +9 jodi | split 2/8/1
Time Bazar.close | lag3:Madhur Day.closePanel.outerDiff.opposite | 30d +1 side / +1 jodi | 730d +16 side / +7 jodi | split 8/5/3
Time Bazar.close | lag2:Kalyan Night.closePanel.first.source | 30d +1 side / +1 jodi | 730d +16 side / +5 jodi | split 10/3/3
Sridevi.close | lag2:Kalyan.closeSutta.source | 30d +1 side / +1 jodi | 730d +13 side / +8 jodi | split 5/8/0
Sridevi.close | lag2:Kalyan.closePanel.sum.source | 30d +1 side / +1 jodi | 730d +13 side / +8 jodi | split 5/8/0
Time Bazar.close | lag7:Rajdhani Day.openSutta.source | 30d +1 side / +1 jodi | 730d +12 side / +9 jodi | split 3/4/5
Time Bazar.close | lag7:Rajdhani Day.openPanel.sum.source | 30d +1 side / +1 jodi | 730d +12 side / +9 jodi | split 3/4/5
Sridevi.close | lag2:Milan Day.closePanel.first.source | 30d +1 side / +1 jodi | 730d +11 side / +4 jodi | split 5/6/0
Time Bazar.close | previousWeekday:Milan Day.closePanel.middle.source | 30d +1 side / +1 jodi | 730d +8 side / +4 jodi | split 3/1/4
Time Bazar.close | lag2:Sridevi Night.closePanel.middle.source | 30d +1 side / +1 jodi | 730d +8 side / +2 jodi | split 1/3/4
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-preserve3-close-0.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-preserve3-close-0.md
