Stable candidates: 91
Rajdhani Day.close | lag2:Sridevi.openPanel.last.opposite | 30d +4 side / +2 jodi | 730d +3 side / +3 jodi | split 0/0/3
Rajdhani Day.close | previousDraw:Kalyan Night.closePanel.last.source | 30d +3 side / +3 jodi | 730d +4 side / +6 jodi | split 0/4/0
Milan Day.close | lag2:Milan Night.closePanel.outerSum.opposite | 30d +3 side / +3 jodi | 730d +3 side / +11 jodi | split 2/0/1
Rajdhani Day.close | lag2:Milan Night.openPanel.last.source | 30d +3 side / +3 jodi | 730d +3 side / +8 jodi | split 0/1/2
Rajdhani Day.close | lag7:Sridevi.closePanel.last.opposite | 30d +3 side / +2 jodi | 730d +17 side / +13 jodi | split 15/2/0
Rajdhani Day.close | previousWeekday:Sridevi.closePanel.last.opposite | 30d +3 side / +2 jodi | 730d +17 side / +11 jodi | split 14/3/0
Rajdhani Day.close | lag3:Kalyan.closePanel.last.opposite | 30d +3 side / +2 jodi | 730d +7 side / +6 jodi | split 2/5/0
Rajdhani Day.close | lag2:Kalyan Night.openPanel.outerSum.source | 30d +3 side / +2 jodi | 730d +6 side / +7 jodi | split 4/1/1
Rajdhani Day.close | lag7:Milan Night.openPanel.outerDiff.opposite | 30d +2 side / +2 jodi | 730d +12 side / +8 jodi | split 1/6/5
Milan Day.close | lag3:Sridevi.openPanel.first.opposite | 30d +2 side / +2 jodi | 730d +12 side / +7 jodi | split 6/1/5
Rajdhani Day.close | previousDraw:Rajdhani Night.openPanel.middle.opposite | 30d +2 side / +2 jodi | 730d +6 side / +7 jodi | split 0/0/6
Rajdhani Day.close | previousWeekday:Kalyan Night.closePanel.outerSum.source | 30d +2 side / +2 jodi | 730d +6 side / +6 jodi | split 1/2/3
Rajdhani Day.close | previousDraw:Time Bazar.openPanel.outerDiff.opposite | 30d +2 side / +2 jodi | 730d +5 side / +8 jodi | split 2/3/0
Rajdhani Day.close | previousDraw:Rajdhani Day.closePanel.middle.opposite | 30d +2 side / +2 jodi | 730d +5 side / +7 jodi | split 1/4/0
Rajdhani Day.close | lag7:Rajdhani Day.closePanel.last.source | 30d +2 side / +2 jodi | 730d +5 side / +4 jodi | split 0/2/3
Rajdhani Day.close | lag7:Milan Night.openPanel.first.opposite | 30d +2 side / +2 jodi | 730d +5 side / +4 jodi | split 1/3/1
Rajdhani Day.close | previousWeekday:Kalyan Night.openPanel.middle.opposite | 30d +2 side / +2 jodi | 730d +5 side / +3 jodi | split 0/4/1
Rajdhani Day.close | lag7:Milan Night.openPanel.outerSum.opposite | 30d +2 side / +2 jodi | 730d +5 side / +3 jodi | split 0/2/3
Milan Day.close | lag7:Milan Night.closePanel.middle.source | 30d +2 side / +2 jodi | 730d +4 side / +7 jodi | split 1/3/0
Kalyan.close | lag2:Sridevi Night.openPanel.outerDiff.opposite | 30d +2 side / +2 jodi | 730d +4 side / +3 jodi | split 1/3/0
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\scratch\sutta-current-expanded-search-1.json
Saved C:\Users\prajw\Downloads\dbboss\dbboss-calculator\backtest_reports\2026-07-11\sutta-current-expanded-search-1.md
